,CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
12804,Japan,JPN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,1960,4.1202
12805,Japan,JPN,Age dependency ratio (% of working-age population),SP.POP.DPND,1960,55.970117254574006
12806,Japan,JPN,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,1960,8.9307245556266
12807,Japan,JPN,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,1960,47.0393926989474
12808,Japan,JPN,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,1960,6.2236195106401695
12809,Japan,JPN,Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,1960,1000000.0
12810,Japan,JPN,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1960,894000000.0
12811,Japan,JPN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1960,17.3
12812,Japan,JPN,CO2 emissions (kg per 2005 US$ of GDP),EN.ATM.CO2E.KD.GD,1960,0.355471951476002
12813,Japan,JPN,CO2 emissions (kt),EN.ATM.CO2E.KT,1960,232781.16
12814,Japan,JPN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1960,2.5165375193571804
12815,Japan,JPN,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,1960,32.1015348288076
12816,Japan,JPN,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,1960,0.6884057971014489
12817,Japan,JPN,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,1960,1602.479
12818,Japan,JPN,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,1960,34.6597353497164
12819,Japan,JPN,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,1960,80681.334
